2015.admissions.act_scores.midpoint.cumulative,2015.admissions.admission_rate.overall,2015.admissions.sat_scores.average.overall,2015.aid.federal_loan_rate,2015.aid.median_debt.completers.overall,2015.aid.pell_grant_rate,2015.completion.completion_rate_4yr_150nt,2015.cost.attendance.academic_year,2015.earnings.10_yrs_after_entry.not_working_not_enrolled.overall,2015.student.FAFSA_applications,2015.student.family_income.overall,2015.student.parents_education_level,2015.student.size,school.faculty_salary,school.ft_faculty_rate,school.instructional_expenditure_per_fte,school.name,school.ownership,school.region_id,school.state_fips,school.tuition_revenue_per_fte
22.0,0.5974,1006.0,0.6258,27000.0,0.317,0.5307,43657.0,,1615.0,1615.0,1494.0,3667.0,8356.0,0.3057,10327,Stevenson University,2,2,24,15838
18.0,0.9231,943.0,0.5698,23000.0,0.4419,0.3684,29271.0,,37.0,37.0,,71.0,4286.0,,3625,Boston Baptist College,2,1,25,15940
32.0,0.2851,1380.0,0.3763,19000.0,0.125,0.9242,62968.0,,2077.0,2077.0,2004.0,9491.0,14211.0,0.5787,22248,Boston College,2,1,25,31361
20.0,0.6316,887.0,0.8473,27000.0,0.5187,0.3757,43925.0,,892.0,892.0,778.0,1478.0,6409.0,0.1781,6248,American International College,2,1,25,13931
,0.7575,,0.7272,27000.0,0.2422,0.7282,48977.0,,1056.0,1056.0,998.0,2184.0,8389.0,0.5189,8185,Assumption College,2,1,25,14674
24.0,0.7982,1074.0,0.6713,27000.0,0.3107,0.7024,49702.0,,738.0,738.0,680.0,1613.0,7185.0,0.2188,9659,McDaniel College,2,2,24,14189
24.0,0.9473,1089.0,0.5101,20500.0,0.3607,0.4294,17119.0,,4681.0,4681.0,4241.0,11048.0,7644.0,0.9574,7564,Wichita State University,1,4,20,7705
23.0,0.906,1069.0,0.4708,21500.0,0.3303,0.4854,17243.0,,3319.0,3319.0,3086.0,7891.0,7106.0,0.734,8276,Murray State University,1,5,21,8052
,,,0.5042,16900.0,0.3565,0.3479,16599.0,,2814.0,2814.0,2537.0,4900.0,7552.0,0.5691,8536,Washburn University,1,4,20,5847
20.0,0.3792,931.0,0.6933,29000.0,0.6397,0.2227,17984.0,,794.0,794.0,714.0,1286.0,6382.0,0.9416,8520,Kentucky State University,1,5,21,7027
,0.6905,1055.0,0.5475,22060.0,0.4185,0.424,20496.0,,5427.0,5427.0,4548.0,12397.0,10470.0,0.5559,12917,University of Massachusetts-Boston,1,1,25,12800
